dc_title,dcterms_alternative,dc_creator,dc_subject,dc_description,dc_publisher,dc_contributor,dc:type,dc:format,dc:identifier,dc:source,dc:language,dcterms:isPartOf,dcterms:spatial,dcterms:temporal,dc:rights,SLQ Digitool viewer,1000_pixel_jpg and 150_pixel_jpg images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coolangatta that's the place for me,,"McIver, Rita",Songs with piano Coolangatta (Qld.)--Songs and music,"'The big song success at Bohemia Theatre, Brisbane'. --cover. 'Features photograph of Coolangatta beach on front cover'",State Library of Queensland,"Whaite, Fred(Frederick)",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 30 cm.,,"Copied and digitised from Coolangatta that's the place for me / words and music by Rita McIvor [i.e McIver], Fred Whaite, Eb. Jackson. Brisbane, Qld. : E. O. Farley, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 425858 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1208 ,"Coolangatta, Queensland; -28.168067,153.535326",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1208,Coolangatta that's the place for me - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403000&custom_att_3=NLA,Coolangatta that's the place for me - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403004&custom_att_3=NLA,Coolangatta that's the place for me - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403008&custom_att_3=NLA,Coolangatta that's the place for me - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403012&custom_att_3=NLA,Coolangatta that's the place for me thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403001,425858-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403005,425858-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403009,425858-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403013,,,,,,,,,,,,,,,,,,,,,,,,,,
A Federal song,,"Sampson, George,1861-1949.",Federal government--Australia--Songs and music. Federal government--Australia--Songs and music. National songs--Australia Patriotic music--Australia,Words printed inside back page. Words printed inside back page.,State Library of Queensland,"Evans, George Essex,1863-1909.",image,Digital format: image/jpeg Original format: 1 score (3 p.) ; 36 cm.,,"Copied and digitised from A Federal song words by George Essex Evans ; music by George Sampson Brisbane, Qld. : Gordon & Gotch, c1899. Item is held by State Library of Queensland.",,Accession number: Bib 425952 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1213 ,,c1899,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1213,A Federal song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403018&custom_att_3=NLA,A Federal song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403022&custom_att_3=NLA,A Federal song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403026&custom_att_3=NLA,A Federal song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403030&custom_att_3=NLA,A Federal song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403034&custom_att_3=NLA,A Federal song - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403038&custom_att_3=NLA,A Federal song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403019,425952-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403023,425952-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403027,425952-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403031,425952-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403035,425952-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403039,,,,,,,,,,,,,,,,,,,,,,
Girls of Australia waltz,,"Weise, E. C. G.",Waltzes Piano music--Australia,"'By the same composer, anthem 'God Save Australia'.--back cover.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (2) p. ; 32 cm.,,"Copied and digitised from Girls of Australia waltz / E. C. G. Weise [Sandgate?, Qld.] : H. Pole & Co Pty Ltd., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 425977 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1218 ,,,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1218,Girls of Australia waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403044&custom_att_3=NLA,Girls of Australia waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403048&custom_att_3=NLA,Girls of Australia waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403052&custom_att_3=NLA,Girls of Australia waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403056&custom_att_3=NLA,Girls of Australia waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403045,425977-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403049,425977-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403053,425977-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403057,,,,,,,,,,,,,,,,,,,,,,,,,,
Hear our soldiers' cry,,"Harrison, Lorna Maud.","Songs with piano World War, 1914-1918--Australia","Cover title. Words also printed as text inside front cover. 'Dedicated to the honoured memory of one who gave his life for king and country'--cover. 'This song is written in the hope that it will put unto the hearts of others a desire to stand by their comrades'--cover. 'Sung by Miss J. Brodie Breeze to organ accompaniment by Mr. Percy Brier on the night of Mr. Hughes' reinforcement campaign speech, Brisbane, 4th October, 1916'.--cover.",State Library of Queensland,"Harrison, John,Mrs.",image,Digital format: image/jpeg Original format: 1 score (3p.) ; 35cm.,,"Copied and digitised from Hear our soldiers' cry composed by Lorna Maud Harrison ; words by Mrs. John Harrison Brisbane, Qld. : Carter Watson, [191-?]. Item is held by State Library of Queensland.",,Accession number: Bib 426108 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1219 ,,191-?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1219,Hear our soldiers' cry - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403062&custom_att_3=NLA,Hear our soldiers' cry - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403066&custom_att_3=NLA,Hear our soldiers' cry - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403070&custom_att_3=NLA,Hear our soldiers' cry - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403074&custom_att_3=NLA,Hear our soldiers' cry - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403078&custom_att_3=NLA,Hear our soldiers' cry - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403082&custom_att_3=NLA,Hear our soldiers' cry - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403086&custom_att_3=NLA,Hear our soldiers' cry - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403090&custom_att_3=NLA,Hear our soldiers' cry - Page 9 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403094&custom_att_3=NLA,Hear our soldiers' cry - Page 10 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403098&custom_att_3=NLA,Hear our soldiers' cry thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403063,426108-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403067,426108-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403071,426108-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403075,426108-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403079,426108-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403083,426108-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403087,426108-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403091,426108-s009 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403095,426108-s010 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403099,,,,,,,,,,,,,,
Indooroopilly the tongue twisting waltz song hit,,"Maloney, Billy.",Indooroopilly (Qld.)--Songs and music.,Sung with enormous success by Miss Claire Lloyd in J.N. McCallum's gorgeous Xmas pantomime 'Cinderella'--cover. Cover title. Some covers differ slightly.,State Library of Queensland,"Whaite, Fred(Frederick).",image,Digital format: image/jpeg Original format: 1 score [2} p. ; 35 cm.,,"Copied and digitised from Indooroopilly the tongue twisting waltz song hit / written and composed by Billy Maloney ; arranged by Fred Whaite. Brisbane, Qld. : Harston's, c1920. Item is held by State Library of Queensland.",,Accession number: Bib 426378 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1236 ,"Indooroopilly (Qld.); -27.497247,152.973849",c1920,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1236,Indooroopilly the tongue twisting waltz song hit - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403121&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403129&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403133&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403137&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403141&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403145&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403149&custom_att_3=NLA,Indooroopilly the tongue twisting waltz song hit - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403125&custom_att_3=NLA,426378-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403130,426378-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403134,426378-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403138,426378-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403142,426378-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403146,426378-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403150,Indooroopilly the tongue twisting waltz song hit thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403122,426378-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403126,,,,,,,,,,,,,,,,,,
Joy bells are ringing,,"Miller, Helena.","Patriotic music--Australia. World War, 1914-1918--Australia--Songs and music",'Dedicated to the heroes of the great war'. -- cover caption.The peace song. Words printed on preface page.,State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: [3] p. ; 36 cm.,,"Copied and digitised from Joy bells are ringing words by E. T. Shorley ; music by Helena Miller. [S.l.] : [s.n.], [191-?]. Item is held by State Library of Queensland.",,Accession number: Bib 426422 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1221 ,,191-?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1221,Joy bells are ringing - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403155&custom_att_3=NLA,Joy bells are ringing - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403159&custom_att_3=NLA,Joy bells are ringing - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403163&custom_att_3=NLA,Joy bells are ringing - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403167&custom_att_3=NLA,Joy bells are ringing - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403171&custom_att_3=NLA,Joy bells are ringing thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403156,426422-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403160,426422-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403164,426422-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403168,426422-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403172,,,,,,,,,,,,,,,,,,,,,,,,
The Kennedy regiment waltz,,"Affoo, Fred A.","World War, 1914-1918--Australia--Songs and music. Piano music Waltzes","'Dedicated to Colonel R. B. Huxtable, commander, Thursday Island forces'--cover. 'Cover features picture of the Australian and British flags crossed'.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5) p. ; 34 cm.,,"Copied and digitised from The Kennedy regiment waltz composed by Fred A. Affoo. Sydney, N.S.W : W. H. Paling & Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 426469 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1237 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1237,The Kennedy regiment waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403181&custom_att_3=NLA,The Kennedy regiment waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403185&custom_att_3=NLA,The Kennedy regiment waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403189&custom_att_3=NLA,The Kennedy regiment waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403193&custom_att_3=NLA,The Kennedy regiment waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403197&custom_att_3=NLA,The Kennedy regiment waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403201&custom_att_3=NLA,The Kennedy regiment waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403182,426469-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403186,426469-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403190,426469-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403194,426469-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403198,426469-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403202,,,,,,,,,,,,,,,,,,,,,,
Mafeking waltz,,"Strahan, Zara,1878-1937",Piano music Union Jacks,"'Under the patronage of His Excellency the Right Hon. Earl Beauchamp, K.C.M.C.' 'Dedicated to Lady Lamington'. --cover. 'Under the patronage of His Excellency the Right Hon. Earl Beauchamp, K.C.M.C.' 'Dedicated to Lady Lamington'. --cover. Also available in an electronic version via the Internet",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (8 p.) ; 37 cm.,,"Copied and digitised from Mafeking waltz Zara Strahan Sydney : W.H.Paling & Co., <n.d.> Item is held by State Library of Queensland.",,Accession number: Bib 426628 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1224 ,,Undated,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1224,Mafeking waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403207&custom_att_3=NLA,Mafeking waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403211&custom_att_3=NLA,Mafeking waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403215&custom_att_3=NLA,Mafeking waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403219&custom_att_3=NLA,Mafeking waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403223&custom_att_3=NLA,Mafeking waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403227&custom_att_3=NLA,Mafeking waltz - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403231&custom_att_3=NLA,Mafeking waltz - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403235&custom_att_3=NLA,Mafeking waltz - Page 9 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403239&custom_att_3=NLA,Mafeking waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403208,426628-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403212,426628-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403216,426628-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403220,426628-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403224,426628-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403228,426628-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403232,426628-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403236,426628-s009 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403240,,,,,,,,,,,,,,,,
Myola gavotte,,"Strahan, Zara,1878-1937.",Piano music Gavottes,"'Dedicated by kind permission to W. A. Caflisch esq, conductor, Brisbane Liedertafel'. --cover.'Dedicated by kind permission to W. A. Caflisch esq, conductor, Brisbane Liedertafel'. --cover.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5 p.) ; 36 cm.,,"Copied and digitised from Myola gavotte Zara Strahan. Sydney, N.S.W. : W. H. Paling & Co., [19--]. Item is held by State Library of Queensland.",,Accession number: Bib 426684 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1239 ,,19--,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1239,Myola gavotte - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403244&custom_att_3=NLA,Myola gavotte - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403248&custom_att_3=NLA,Myola gavotte - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403252&custom_att_3=NLA,Myola gavotte - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403256&custom_att_3=NLA,Myola gavotte - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403260&custom_att_3=NLA,Myola gavotte - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403264&custom_att_3=NLA,Myola gavotte thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403245,426684-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403249,426684-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403253,426684-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403257,426684-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403261,426684-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403265,,,,,,,,,,,,,,,,,,,,,,
Orvieto waltz,,"Middleton, Seymour A.",Ships--Songs and music Orvieto (Ship)--Songs and music Piano music Waltzes,'Dedicated to Commander J.F.Ruthven'. --cover caption. Photograph of ship (Orvieto) on cover. Also available in electronic version via the Internet,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (10 p.) ; 31 cm.,,"Copied and digitised from Orvieto waltz / composed by Seymour A.Middleton Sydney, N.S.W. : W. H. Paling & Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 426839 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1242 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1242,Orvieto waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403270&custom_att_3=NLA,Orvieto waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403274&custom_att_3=NLA,Orvieto waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403278&custom_att_3=NLA,Orvieto waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403282&custom_att_3=NLA,Orvieto waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403286&custom_att_3=NLA,Orvieto waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403290&custom_att_3=NLA,Orvieto waltz - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403294&custom_att_3=NLA,Orvieto waltz - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403298&custom_att_3=NLA,Orvieto waltz - Page 9 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403302&custom_att_3=NLA,Orvieto waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403271,426839-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403275,426839-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403279,426839-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403283,426839-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403287,426839-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403291,426839-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403295,426839-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403299,426839-s009 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403303,,,,,,,,,,,,,,,,
Our boys at the front military song,,"Egan-Mulry, M.,1863-1934","Songs with piano War songs--Australia World War, 1914-1918--Australia--Songs and music",'Dedicated to Lady Goold Adams'. --cover. Text of song printed at end of last page.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (3) p. ; 37 cm.,,"Copied and digitised from Our boys at the front military song / by M. Egan Mulry [Brisbane] : H. J. Diddams & Co. Printers, [ between 1914 and 1918]. Item is held by State Library of Queensland.",,Accession number: Bib 426843 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1243 ,,between 1914 and 1918,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1243,Our boys at the front military song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403307&custom_att_3=NLA,Our boys at the front military song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403311&custom_att_3=NLA,Our boys at the front military song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403315&custom_att_3=NLA,Our boys at the front military song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403319&custom_att_3=NLA,Our boys at the front military song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403323&custom_att_3=NLA,Our boys at the front military song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403308,426843-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403312,426843-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403316,426843-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403320,426843-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403324,,,,,,,,,,,,,,,,,,,,,,,,
